Image URL,Event Name,Event Type,Event Description,Calendar,All Day,Public/Private,Reported Count,Start Date,End Date,Url,Created By
https://www.sephora.com/productimages/sku/s2546448-main-zoom.jpg?pb=2023-03-sephora-value-2023&imwidth=122,SEPHORA COLLECTION,Sale,"Large Supplement Case

$7.50 $15.00

27

",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/product/sephora-collection-large-supplement-case-P482311?icid2=productlist_ohsnap0824_fy243666_day14_091224,
https://www.sephora.com/productimages/sku/s2414803-main-zoom.jpg?pb=2023-03-sephora-value-2023&imwidth=122,SEPHORA COLLECTION,Sale,"Metal Facial Razor Refills

$5.00 $10.00

39

",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/product/sephora-collection-metal-facial-razor-refills-P472067?icid2=productlist_ohsnap0824_fy243666_day14_091224,
https://www.sephora.com/contentimages/promo/bpme/2024/September/2024-9-12-september-bpme-site-desktop-mobile-app-beauty-offers-page-banner-milk-makeup-en-us-can-kohls.jpg?imwidth=240,Get 4X Points,Sale,"on ALL Milk Makeup.

Beauty Insider members only.

Online only 

Apply",sephora Calendar,No,Public,0,,9/18/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/bpme/2024/September/2024-9-12-september-bpme-site-desktop-mobile-app-beauty-offers-page-banner-pureology-en-us-can-f2.jpg?imwidth=240,Get 4X Points,Sale,"on ALL Pureology—only on the app.

Beauty Insider members only.

App only 

Download App",sephora Calendar,No,Public,0,,9/18/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/July/2024-08-CC-GP-activation-offer-site-beauty-offers-banner-1000x750.jpg?imwidth=240,Earn $150 in Credit Card Rewards,Sale,"Open a Sephora Visa Signature Credit Card between 7/22/24 and 9/25/24

In store & online 

Spend $1,500 on it outside Sephora within first 90 days.

",sephora Calendar,No,Public,0,,9/25/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/April/2024-04-16-auto-replenishment-der-a-site-desktop-mobile-app-beauty-offers-banner-general-us-can-final.jpg?imwidth=240,Save 5% with Auto-Replenish,Sale,"Never run out of your go-to beauty with subscription delivery.

Online only

Terms apply.

See details",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-08-bi-gamification-Q3-site-beauty-offers-banner-1000x750-us-can-shared.jpg?imwidth=240,A New Beauty Insider Challenge Is Here!,Sale,"Complete tasks and earn up to 500 points.

Beauty Insider members only.

Online only 

Join Challenge",sephora Calendar,No,Public,0,,10/23/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2023/October/site-beauty-offers-banner-1000x750.jpg?imwidth=240,Use Your FSA/HSA at Sephora,Sale,"Did you know? You can make the most of your tax-free dollars with eligible skincare.

In store & online

See Details

",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/AppBonanza/2024-08-22-row-id-2973-app-bonanza-week-derivative-a-site-desktop-mobile-app-beauty-offers-banner-1000x750-gamification-task-app-us-final.jpg?imwidth=240,Earn 100 Points,Sale,"Join the Ready, Set, Sephora Challenge and complete a minimum $25 purchase on the app.

App only 

Exclusions/terms apply.

",sephora Calendar,No,Public,0,,10/23/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2023/September/2023-07-03-omni-convenience-optimizations-site-beauty-offers-page-banner-same-day-delivery-us-can-final.jpg?imwidth=240,Try Same-Day Unlimited FREE for 30 Days ,Sale,"The subscription that delivers your beauty in as little as 2 hours—every time you shop. 

Beauty Insider members only.

Terms apply. 

",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/April/2023-05-01-SMS-Acquisition-Promo-site-beauty-offers-banner-1000x750-release-us-can.jpg?imwidth=240,Get 10% Off,Sale,"When you sign up for text updates as a new subscriber. Plus, never miss out on exclusive releases, events, and offers.

Beauty Insider members only.

In store & online 

Learn More",sephora Calendar,No,Public,0,,10/25/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2022/February/2022-2-03-Aquisition-FPD-site-desktop-mobile-beauty-offers-page-banner-Final.jpg?imwidth=240,Get 25% Off Your Entire First Purchase,Sale,"when you open and use your Sephora Credit Card at Sephora today. PLUS earn 4% back in Credit Card Rewards.

In store & online

Learn More

",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/freeship2021/2022-08-01-free-ship-site-beauty-offers-page-banner-us-can-final.jpg?imwidth=240,Beauty Insiders Get Free Shipping,Sale,"It’s fast, reliable, and applies to every order.

No code needed  Not a Beauty Insider member? 

Beauty Insider members only.

Join Here",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-july-foundation-site-beauty-offers-banner-1000x750-sample-bag-us.jpg?imwidth=240,Get 9 Free Foundation Samples ,Sale,"Find the formula for you from top brands.

Online only with $45 purchase

Beauty Insider members only.

Exclusions/terms apply. ",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/September/2024-09-09-PRISMLIBRE-slotting-promo-app-beauty-offers-banner-US-CAN-handoff.jpg?imwidth=240,Complimentary Makeup Trial Size,Sale,"Set your look with a Givenchy Prisme Libre Loose Powder.

Complimentary with $40 purchase. 

Beauty Insider members only.

Exclusions/terms apply. ",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-08-15-slotting-promo-app-beauty-offers-banner-us-can.jpg?imwidth=240,Free Trial-Size Primer ,Sale,"Prep skin with The POREfessional by Benefit Cosmetics. 

Free with $30 purchase. 

Beauty Insider members only.

Exclusions/terms apply. ",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-08-09-MOREDRAMA-slotting-promo-app-beauty-offers-banner-US-handoff.jpg?imwidth=240,Free Makeup Trial Size ,Sale,"Boost lash volume with Lancôme’s Hypnose Drama Mascara.

Free with $30 purchase. 

Beauty Insider members only.

Exclusions/terms apply. ",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/September/2024-9-4-glow-recipe-blackberry-serum-site-desktop-mobile-app-beauty-offers-page-banner-en-us-can.jpg?imwidth=240,Free Glow Recipe Trial Size,Sale,"Target blemishes and fine lines with the NEW, gentle Blackberry Retinol Blemish Serum.

Free with $30 purchase.

Beauty Insider members only.

Exclusions/terms apply.",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/September/2024-09-02-GOLDENHR-slotting-promo-app-beauty-offers-banner-US-handoff.jpg?imwidth=240,Free Trial-Size Sunscreen,Sale,"Prime and protect with Supergoop! Glowscreen Golden Hour.

Free with $30 purchase. 

Beauty Insider members only.

Exclusions/terms apply. ",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-aug-acne-mbc-site-desktop-mobile-app-beauty-offers-page-banner-1000x750-us-2821.jpg?imwidth=240,Choose 1 of 2 Skincare Trial Sizes,Sale,"Find your new breakout-fighting fave. Use code CLEARSKIN.

Free with $30 purchase.

Beauty Insider members only.

Exclusions/terms apply.",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-08-16-slotting-promo-app-beauty-offers-banner-us.jpg?imwidth=240,Free Trial-Size Serum,Sale,"Boost glow with a TULA Skincare Bronze Boost Glow Bronzing Drops.

Free with $30 purchase. 

Beauty Insider members only.

Exclusions/terms apply. ",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/September/2024-9-XX-ouai-st-barts-hair-oil-site-desktop-mobile-app-beauty-offers-page-banner-en-us-can.jpg?imwidth=240,Free OUAI St. Barts Scalp & Body Scrub Trial Size ,Sale,"Gently exfoliate with this deliciously scented, multitasking formula. 

Free with $30 purchase.

Beauty Insider members only.

Exclusions/terms apply.",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/September/2024-09-06-AASERUM-slotting-promo-app-beauty-offers-banner-US-handoff.jpg?imwidth=240,Free Hair-Care Trial Size ,Sale,"Extend time between washes with Act+Acre’s Niacinamide Oily Scalp Serum.

Free with $30 purchase. 

Beauty Insider members only.

Exclusions/terms apply. ",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-8-20-august-hair-challenge-site-desktop-mobile-app-beauty-offers-page-banner-en-us-can.jpg?imwidth=240,Free Ceremonia Samples,Sale,"Target damage, dryness, and split ends with gentle, guava-infused formulas. 

Free with $40 purchase.

Beauty Insider members only.

Exclusions/terms apply.",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-8-XX-sienna-naturals-site-desktop-mobile-app-beauty-offers-page-banner-en-us.jpg?imwidth=240,Try Sienna Naturals,Sale,"Get a free trial size of the Dream Curl Mousse for hydrated, defined coils.

Free with $30 purchase.

Beauty Insider members only.

Exclusions/terms apply.",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-08-11-YAYTEXTURE-slotting-promo-app-beauty-offers-banner-US-handoff.jpg?imwidth=240,Free Hair-Care Trial Size ,Sale,"Enjoy Crown Affair’s The Texturizing Air Dry Mousse. 

Free with $30 purchase. 

Beauty Insider members only.

Exclusions/terms apply. ",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/September/2024-q3-fragrance-site-desktop-mobile-app-beauty-offers-page-banner-sample-set-1000x750-us-2821.jpg?imwidth=240,Free Fragrance Sample Set,Sale,"Get 9 samples and a Sol de Janeiro mini.

Free with $50 purchase.

Beauty Insider members only.

Sample products and quantities may vary. Exclusions/terms apply.",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/September/2024-09-05-slotting-baar-site-beauty-offers-banner-1000x750-english-amka-US-CAN-handoff.jpg?imwidth=240,Auto-Replenish Hot Deal ,Sale,"Get 10% off select Amika subscription deliveries.

Limited Time Only

Beauty Insider members only.

Terms apply.",sephora Calendar,No,Public,0,,10/17/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/September/2024-09-04-slotting-baar-site-beauty-offers-banner-1000x750-english-yttp-US-CAN-handoff.jpg?imwidth=240,Auto-Replenish Hot Deal ,Sale,"Get 15% off select Youth to the People subscription deliveries.

Limited Time Only

Beauty Insider members only.

Terms apply.",sephora Calendar,No,Public,0,,10/16/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/September/2024-09-03-slotting-baar-site-beauty-offers-banner-1000x750-english-de-US-CAN-handoff.jpg?imwidth=240,Auto-Replenish Hot Deal ,Sale,"Get 15% off select Drunk Elephant subscription deliveries.

Limited Time Only

Beauty Insider members only.

Terms apply.",sephora Calendar,No,Public,0,,10/3/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/September/2024-09-01-slotting-baar-site-beauty-offers-banner-1000x750-english-US-CAN-handoff.jpg?imwidth=240,Auto-Replenish Hot Deal ,Sale,"Get 15% off select Beautyblender subscription deliveries.

Limited Time Only

Beauty Insider members only.

Terms apply.",sephora Calendar,No,Public,0,,9/30/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-08-27-slotting-baar-site-beauty-offers-banner-1000x750-english-US-CAN-handoff.jpg?imwidth=240,Auto-Replenish Hot Deal ,Sale,"Get 15% off select Benefit Cosmetics subscription deliveries.

Limited Time Only

Beauty Insider members only.

Terms apply.",sephora Calendar,No,Public,0,,10/8/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/2024-08-20-slotting-baar-site-beauty-offers-banner-1000x750-english-US-CAN-handoff.jpg?imwidth=240,Auto-Replenish Hot Deal ,Sale,"Get 10% off select Sol de Janeiro subscription deliveries. 

Limited Time Only

Beauty Insider members only.

Terms apply.",sephora Calendar,No,Public,0,,9/15/2024,https://www.sephora.com/beauty/beauty-offers,
https://www.sephora.com/contentimages/promo/beautyoffers/2024/August/AppBonanza/2024-08-21-row-id-2972-app-bonanza-week-derivative-a-site-desktop-mobile-app-beauty-offers-banner-1000x750-smgm-us-final.jpg?imwidth=240,"Spend More, Get More",Sale,"Choose 1, 2, or 3 free trial sizes. Free with a $30, $55, or $80 purchase.

Beauty Insider members only.

App only

Download App",sephora Calendar,No,Public,0,,2024-09-19,https://www.sephora.com/beauty/beauty-offers,
